Data,Temperatura,Wilogtność powietrza,Prędkość wiatru,Zachmurzenie
2015-05-17,11.13,21.03,1.91,5.76
2015-05-18,11.23,18.14,1.21,2.93
2015-05-19,15.67,18.49,1.32,4.15
2015-05-20,15.43,24.65,1.12,6.64
2015-05-21,11.88,26.63,1.0,7.47
2015-05-22,10.86,24.02,1.02,6.55
2015-05-23,10.76,25.53,0.88,7.29
2015-05-24,11.51,25.41,0.81,6.44
2015-05-25,12.75,25.25,0.7,6.98
2015-05-26,13.2,26.63,1.19,7.38
2015-05-27,9.2,24.19,1.87,7.21
2015-05-28,9.99,21.72,1.08,5.33
2015-05-29,12.25,20.41,0.94,3.57
2015-05-30,14.59,20.58,1.51,5.05
2015-05-31,13.65,20.06,1.0,4.62
2015-06-01,16.48,19.56,1.1,3.66
2015-06-02,18.41,20.83,1.3,3.63
2015-06-03,19.88,18.11,1.48,2.99
2015-06-04,16.77,19.02,1.24,3.48
2015-06-05,15.06,17.18,0.97,0.73
2015-06-06,18.61,16.11,1.04,1.37
2015-06-07,19.71,19.77,1.01,3.6
2015-06-08,16.55,20.6,1.24,5.63
2015-06-09,14.92,22.58,1.37,5.21
2015-06-10,15.49,20.79,0.99,4.64
2015-06-11,16.5,18.71,0.78,2.62
2015-06-12,18.96,18.76,1.11,2.57
2015-06-13,21.74,20.13,1.2,2.82
2015-06-14,20.96,20.3,1.23,3.86
2015-06-15,16.95,24.17,1.22,6.57
2015-06-16,13.09,20.8,1.16,5.3
2015-06-17,13.12,19.58,0.97,4.7
2015-06-18,13.48,20.97,0.88,5.98
2015-06-19,12.88,25.44,0.94,7.09
2015-06-20,11.73,23.83,0.84,5.61
2015-06-21,12.17,24.1,0.99,5.74
2015-06-22,13.29,22.04,1.26,5.35
2015-06-23,13.8,25.05,1.39,7.33
2015-06-24,13.14,22.26,1.12,5.63
2015-06-25,13.22,22.04,0.84,6.02
2015-06-26,15.68,21.22,0.81,4.94
2015-06-27,15.43,23.52,0.55,6.45
2015-06-28,16.18,24.85,0.85,6.64
