Data,Temperatura,Wilogtność powietrza,Prędkość wiatru,Zachmurzenie,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2017-06-01,14.55,21.12,2.49,2.66,19312.5,18738.52
2017-06-02,14.3,19.79,1.89,2.25,19370.83,18805.15
2017-06-03,14.26,19.49,1.3,1.91,17291.67,16956.02
2017-06-04,16.91,23.59,2.16,5.42,15089.58,14824.97
2017-06-05,15.91,25.7,1.32,5.46,18716.67,18317.72
2017-06-06,17.53,23.96,2.3,5.31,19164.58,18985.21
2017-06-07,15.78,23.92,2.03,5.26,19252.08,18828.44
2017-06-08,14.54,20.95,1.67,3.29,19179.17,18899.87
2017-06-09,16.17,20.74,1.22,2.57,19393.75,19042.28
2017-06-10,16.03,24.27,1.62,5.67,17175.0,17200.36
2017-06-11,16.08,24.25,1.25,4.41,15200.0,15132.68
2017-06-12,17.17,24.68,2.07,5.94,18775.0,18477.89
2017-06-13,15.43,23.33,3.04,5.27,19162.5,18769.77
2017-06-14,14.42,23.57,2.55,5.19,19237.5,18793.39
2017-06-15,15.32,23.09,1.3,2.9,14987.5,14965.83
2017-06-16,15.36,25.7,1.91,6.5,16712.5,16980.67
2017-06-17,12.73,29.84,2.46,7.53,16729.17,16263.63
2017-06-18,16.22,26.25,1.82,4.76,14987.5,14982.65
2017-06-19,18.72,24.37,1.5,2.05,18725.0,18731.17
2017-06-20,20.45,22.12,1.88,2.73,19443.75,19529.49
2017-06-21,17.31,21.59,2.07,3.34,19266.67,19211.45
2017-06-22,17.16,21.92,1.39,4.5,19366.67,19325.68
2017-06-23,17.58,28.87,2.44,6.87,19691.67,19239.24
2017-06-24,18.61,25.03,2.05,4.73,17301.67,17243.27
2017-06-25,19.46,23.19,1.9,4.68,15416.67,15444.52
2017-06-26,18.3,26.32,1.75,5.43,18856.25,18779.24
2017-06-27,18.13,23.77,1.48,4.76,19979.17,19405.43
2017-06-28,20.95,24.75,2.51,5.21,20079.17,19727.02
2017-06-29,20.42,26.32,2.9,5.1,20179.17,19628.78
2017-06-30,18.2,23.72,2.96,4.84,20045.83,19221.63
2017-07-01,16.5,27.83,1.85,6.05,17608.33,16990.15
2017-07-02,15.6,28.77,2.32,6.03,15445.83,15153.85
2017-07-03,14.98,24.87,2.52,4.77,18754.17,18154.45
2017-07-04,14.21,25.67,2.01,5.09,19633.33,18700.19
2017-07-05,14.64,26.41,1.51,5.37,19125.0,19067.66
2017-07-06,15.3,26.17,1.33,4.14,19045.83,19099.58
2017-07-07,15.36,25.76,1.26,5.74,19629.17,19009.64
2017-07-08,17.22,28.87,1.68,6.14,17112.5,17282.54
2017-07-09,18.13,25.88,1.35,3.95,15395.83,15345.99
2017-07-10,19.43,25.67,1.96,5.54,18912.5,18856.13
2017-07-11,19.52,29.12,1.82,5.73,19404.17,19450.07
2017-07-12,18.8,26.59,1.37,4.35,19743.75,19466.57
2017-07-13,15.44,28.75,3.01,5.69,19362.5,19030.92
2017-07-14,14.1,24.86,1.17,5.21,19227.08,18866.7
2017-07-15,13.85,27.56,1.16,5.88,17358.33,16914.59
2017-07-16,14.8,25.92,1.21,4.3,15483.33,15060.4
2017-07-17,16.12,26.17,1.51,5.21,18512.5,18270.74
2017-07-18,17.5,24.56,1.15,3.34,19397.92,18966.81
2017-07-19,18.91,24.93,1.21,3.58,19700.0,19323.18
2017-07-20,20.31,25.17,1.49,4.11,19820.83,19494.71
2017-07-21,19.24,29.51,1.46,5.58,19816.67,19463.31
2017-07-22,19.38,27.17,1.13,4.29,17804.17,17452.39
2017-07-23,19.35,29.62,1.18,5.88,15737.5,15555.52
2017-07-24,18.86,26.99,1.19,5.61,19281.25,18698.13
2017-07-25,16.85,31.65,1.58,7.44,19250.0,18964.66
2017-07-26,15.63,28.12,1.73,5.3,19245.83,18787.88
2017-07-27,16.17,27.02,1.39,4.87,19208.33,18872.66
2017-07-28,16.46,28.91,1.31,5.93,19075.0,18815.65
2017-07-29,17.28,25.38,1.7,3.4,17508.33,16755.35
2017-07-30,20.5,22.72,1.34,1.3,15820.83,15421.03
2017-07-31,22.73,23.7,1.41,3.09,19400.0,19030.69
2017-08-01,23.89,23.17,1.51,1.84,20066.67,19790.16
2017-08-02,23.04,25.05,1.66,4.35,20010.42,19697.54
2017-08-03,22.22,26.23,1.53,4.95,19897.92,19692.63
2017-08-04,22.09,24.65,1.49,5.03,19885.42,19394.67
2017-08-05,21.54,22.95,1.44,3.21,17541.67,17282.27
2017-08-06,18.46,27.47,1.73,6.16,15679.17,15254.7
2017-08-07,15.23,28.17,1.09,5.33,19083.33,18278.61
2017-08-08,16.25,25.43,2.06,2.64,19637.5,18693.61
2017-08-09,20.42,25.73,1.47,2.48,19729.17,19286.99
2017-08-10,22.5,26.7,1.46,4.47,19845.83,19529.31
2017-08-11,22.78,26.05,1.93,2.94,19785.42,19640.64
2017-08-12,19.08,29.11,1.94,6.25,17302.08,16892.7
2017-08-13,15.18,29.8,1.43,6.24,15372.92,14884.79
2017-08-14,15.81,26.71,1.19,3.83,17345.83,16817.95
2017-08-15,16.53,24.95,1.24,2.69,15091.67,14679.09
2017-08-16,18.02,25.21,1.05,3.17,18731.67,18494.79
2017-08-17,18.47,28.87,1.12,4.99,19595.83,19251.21
2017-08-18,20.5,26.26,1.14,3.83,19754.17,19658.21
2017-08-19,19.27,27.78,1.82,5.6,17541.67,17544.04
2017-08-20,14.08,32.64,1.4,7.43,15350.0,15264.46
2017-08-21,12.89,30.1,1.57,5.54,18629.17,18271.8
2017-08-22,12.71,29.85,1.6,6.58,19470.83,18965.36
2017-08-23,12.51,29.95,1.67,6.06,19470.83,19113.52
2017-08-24,13.96,26.85,1.53,3.43,19525.0,19335.19
2017-08-25,16.83,27.26,1.52,4.28,19720.83,19389.35
2017-08-26,17.36,29.55,0.99,4.77,17595.83,17556.05
2017-08-27,18.45,28.77,1.9,5.04,15900.0,15596.65
2017-08-28,14.98,28.53,1.56,4.55,19104.17,18848.13
2017-08-29,13.58,28.64,0.94,2.79,19670.83,19391.49
2017-08-30,15.46,25.71,1.27,1.39,19829.17,19669.21
2017-08-31,17.7,24.68,1.38,2.79,20058.33,19913.42
2017-09-01,16.73,30.2,1.2,5.22,20058.33,19740.86
2017-09-02,13.43,32.41,1.73,7.46,17991.67,17332.89
2017-09-03,11.66,33.47,1.42,7.74,16004.17,15561.01
2017-09-04,12.03,31.64,2.05,6.54,19477.08,18732.51
2017-09-05,12.1,32.23,2.13,7.86,19850.0,19542.66
2017-09-06,13.67,32.21,1.42,7.4,19829.17,19662.01
2017-09-07,12.35,29.36,2.63,6.46,19837.5,19586.0
2017-09-08,12.54,28.14,1.79,4.0,19800.0,19357.87
2017-09-09,15.25,25.89,2.13,3.42,17766.67,17435.75
2017-09-10,16.68,28.75,1.76,4.94,15991.67,15679.58
2017-09-11,17.43,29.21,1.81,6.01,19329.17,19213.22
2017-09-12,13.91,32.32,1.45,7.14,20054.17,19624.97
2017-09-13,13.13,27.39,2.69,4.84,20058.33,19285.14
2017-09-14,15.66,25.27,2.89,5.01,19929.17,19603.17
2017-09-15,11.45,28.45,2.07,5.49,20000.0,19518.41
2017-09-16,11.26,31.61,1.06,6.86,17758.33,17739.08
2017-09-17,11.94,33.09,1.29,7.48,15983.33,16010.36
2017-09-18,10.84,29.88,2.14,4.1,19666.67,19102.12
2017-09-19,9.37,31.21,1.07,6.33,20147.92,19802.73
2017-09-20,10.29,33.21,1.24,7.37,20162.5,20183.36
2017-09-21,9.98,33.64,1.89,7.35,20262.5,20151.96
2017-09-22,10.61,33.65,1.19,7.55,20322.92,20277.01
2017-09-23,11.22,33.58,1.37,7.58,18129.17,18357.35
2017-09-24,11.94,32.75,1.06,7.09,16154.17,16287.64
2017-09-25,11.82,31.91,1.5,5.53,19916.67,19661.87
2017-09-26,11.97,30.88,1.44,5.15,20391.67,20215.25
2017-09-27,11.21,28.28,1.9,3.49,20383.33,20030.45
2017-09-28,9.69,28.31,1.65,2.35,20204.17,20036.26
2017-09-29,8.31,29.03,1.54,3.02,20500.0,19896.7
2017-09-30,7.92,28.43,1.54,2.56,18102.08,17936.52
2017-10-01,7.15,29.09,1.22,1.73,16154.17,16051.62
2017-10-02,7.86,28.15,1.75,2.96,19981.25,19373.83
2017-10-03,9.84,32.43,1.83,7.59,20650.0,20341.75
2017-10-04,9.91,30.22,2.33,6.64,20660.42,20176.63
2017-10-05,9.76,30.78,2.75,7.58,20668.75,20201.17
2017-10-06,8.26,31.4,2.07,6.35,20895.83,19805.15
2017-10-07,7.69,32.35,1.7,6.4,18460.42,18238.55
2017-10-08,7.15,32.46,1.75,6.74,16554.17,16497.67
2017-10-09,5.86,30.22,2.63,5.21,20412.5,20006.66
2017-10-10,6.75,31.53,2.07,6.63,20833.33,20692.3
2017-10-11,10.64,31.96,2.29,7.45,20941.67,20775.74
2017-10-12,12.11,29.54,2.73,5.52,20841.67,20551.44
2017-10-13,9.86,27.88,2.83,5.83,20791.67,20450.13
2017-10-14,10.5,31.46,1.92,5.96,18337.5,18470.2
2017-10-15,13.16,31.24,1.8,4.79,16633.33,16427.86
2017-10-16,12.62,30.27,1.48,2.47,19906.25,19807.64
2017-10-17,12.46,30.13,1.17,2.95,20491.67,20342.64
2017-10-18,11.46,30.02,1.02,3.88,20462.5,20519.3
2017-10-19,10.02,31.86,0.97,4.24,20602.08,20418.97
2017-10-20,9.91,32.48,1.01,5.65,20804.17,20420.05
2017-10-21,9.24,33.13,1.13,6.78,18843.75,18488.97
2017-10-22,7.15,33.41,1.23,7.42,17018.75,16622.5
2017-10-23,6.7,34.53,1.59,7.8,20695.83,20276.24
2017-10-24,4.88,33.44,1.42,7.64,21258.33,20868.5
2017-10-25,6.74,32.81,1.93,7.33,21320.83,20979.31
2017-10-26,9.86,31.02,2.12,7.07,21241.67,20726.72
2017-10-27,7.92,32.88,2.04,7.53,21391.67,20856.64
2017-10-28,5.8,32.64,3.04,7.71,19216.67,18756.4
2017-10-29,5.1,31.7,4.58,7.36,17164.0,16630.62
2017-10-30,2.48,28.47,4.41,6.33,20512.5,20442.26
2017-10-31,2.06,28.89,2.77,5.72,20762.5,20767.21
2017-11-01,4.88,31.56,2.73,7.71,15712.5,15924.96
2017-11-02,7.74,32.1,2.83,7.79,20212.5,19912.96
2017-11-03,7.04,33.28,1.45,7.59,21241.67,20878.88
2017-11-04,5.69,30.32,1.65,3.58,19154.17,18916.81
2017-11-05,6.68,28.45,2.35,4.37,17108.33,16942.99
2017-11-06,6.26,30.67,1.02,4.84,21070.83,20580.41
2017-11-07,5.22,32.0,1.35,6.69,21512.5,21342.74
2017-11-08,3.97,30.55,1.61,6.79,21500.0,21545.34
2017-11-09,4.72,32.85,0.92,7.86,21708.33,21608.27
2017-11-10,5.65,31.11,2.16,7.67,21904.17,21102.73
2017-11-11,3.72,28.89,2.82,5.52,17833.33,17657.42
2017-11-12,2.72,30.78,1.91,6.4,17718.75,16938.05
2017-11-13,2.59,33.68,1.52,7.7,21341.67,20943.93
2017-11-14,1.5,31.35,1.48,6.22,21962.5,21558.86
2017-11-15,1.68,30.85,1.3,4.98,21879.17,21639.57
2017-11-16,2.22,31.71,0.98,4.74,22100.0,21687.5
2017-11-17,2.51,32.79,1.07,7.14,22068.75,21599.95
2017-11-18,1.94,32.35,1.52,6.91,19837.5,19451.65
2017-11-19,1.75,31.15,2.09,6.45,17483.33,17441.08
2017-11-20,0.76,31.66,2.47,6.64,21658.33,21399.68
2017-11-21,0.61,32.85,1.09,7.57,22233.33,22051.66
2017-11-22,2.34,33.72,1.42,7.73,21984.17,21994.24
2017-11-23,4.19,31.16,1.99,4.4,22118.75,21611.58
2017-11-24,4.98,30.27,1.66,4.39,21979.17,21642.51
2017-11-25,6.11,30.53,2.54,6.12,19750.0,19459.45
2017-11-26,3.14,31.81,1.91,7.64,17679.17,17564.6
2017-11-27,0.2,31.18,1.55,5.48,21681.25,21353.15
2017-11-28,-0.05,29.82,1.94,5.32,22256.25,21995.41
2017-11-29,0.42,32.16,1.54,6.62,22416.67,22261.38
2017-11-30,0.08,33.76,1.59,7.86,22537.5,22367.87
2017-12-01,-0.46,32.2,1.71,6.3,22616.67,21958.31
2017-12-02,-1.99,33.14,0.91,7.39,20241.67,20091.15
2017-12-03,-1.17,33.27,1.46,7.09,18450.0,18096.53
2017-12-04,-1.33,32.35,2.1,7.45,21983.33,21415.12
2017-12-05,0.81,31.91,2.59,7.76,22504.17,22029.22
2017-12-06,3.14,32.29,3.49,7.9,22379.17,22083.14
2017-12-07,2.89,28.55,2.88,5.19,22204.17,22116.6
2017-12-08,2.1,28.9,2.64,6.02,22416.67,22156.96
2017-12-09,-0.08,32.04,1.49,7.28,20450.0,20090.76
2017-12-10,-1.0,28.68,2.71,5.49,18533.33,18025.99
2017-12-11,3.07,27.71,3.46,7.22,22058.33,21579.01
2017-12-12,6.78,26.85,3.24,6.98,22620.83,21785.91
2017-12-13,0.84,29.02,1.4,4.92,22597.92,21944.59
2017-12-14,0.8,28.15,3.27,6.72,22641.67,22093.66
2017-12-15,1.52,30.56,1.67,7.15,22620.83,22180.85
2017-12-16,0.04,32.74,1.45,7.71,20525.0,20079.41
2017-12-17,-1.07,31.76,0.82,6.46,18583.33,18290.13
2017-12-18,-2.38,32.76,1.08,7.38,22322.92,22046.85
2017-12-19,-3.1,31.17,1.55,7.46,22787.5,22727.75
2017-12-20,-2.24,32.32,1.53,7.62,22862.5,22663.25
2017-12-21,-0.73,32.68,1.97,7.8,22858.33,22285.76
2017-12-22,1.66,32.57,2.48,7.59,22479.17,21454.16
2017-12-23,2.58,32.57,3.07,7.91,20012.5,19147.19
2017-12-24,6.3,31.91,3.96,7.74,16022.62,15900.3
2017-12-25,5.55,29.55,2.67,5.93,14795.83,14665.03
2017-12-26,3.09,28.35,2.44,3.45,14650.0,14891.3
2017-12-27,2.59,30.53,2.6,4.45,19360.42,18355.35
2017-12-28,4.84,28.96,2.19,7.08,20420.83,19266.31
2017-12-29,1.28,32.84,1.62,7.69,19729.17,19375.05
2017-12-30,-1.66,30.59,1.82,4.22,18608.33,18098.62
2017-12-31,2.52,31.93,2.58,7.29,17020.83,16287.24
2018-01-01,4.44,30.61,1.89,6.51,15433.33,15160.08
2018-01-02,1.63,33.74,1.05,7.06,19952.08,19363.89
2018-01-03,1.76,31.68,2.58,6.66,21825.0,20946.41
2018-01-04,3.25,31.07,2.35,6.14,21635.42,21110.09
2018-01-05,4.25,29.9,2.74,6.48,21658.33,21081.45
2018-01-06,5.18,32.16,1.59,6.16,18391.67,17489.96
2018-01-07,2.85,32.69,1.5,7.3,17791.67,17259.58
2018-01-08,-0.79,32.4,1.26,6.05,21845.83,21454.88
2018-01-09,-0.88,29.16,2.01,4.66,22458.33,22008.9
2018-01-10,1.72,31.04,1.77,7.17,22683.33,22058.27
2018-01-11,0.69,34.35,1.25,7.88,22354.17,22134.83
2018-01-12,-0.79,33.21,2.2,7.86,22360.42,22179.53
2018-01-13,-2.46,30.67,2.62,6.71,19979.17,20050.75
2018-01-14,-5.26,29.43,2.03,5.3,18262.5,18256.87
2018-01-15,-6.58,28.29,1.9,3.44,22002.08,22070.66
2018-01-16,-4.36,29.6,3.41,6.25,22641.67,22625.29
2018-01-17,-1.16,31.62,1.98,6.29,22808.33,22291.91
2018-01-18,-0.12,30.83,2.68,6.81,22616.67,22149.09
2018-01-19,0.25,30.8,2.61,6.91,22512.5,22229.1
2018-01-20,-1.71,33.14,0.92,6.9,20308.33,20027.04
2018-01-21,-2.57,33.82,1.2,7.61,18158.33,18261.58
2018-01-22,-4.47,31.72,1.26,6.28,21987.5,21895.9
2018-01-23,-5.33,30.96,1.01,6.48,23233.33,22599.78
2018-01-24,-0.55,32.04,2.35,6.9,22712.5,22190.07
2018-01-25,2.67,28.79,2.23,5.27,22712.5,21818.2
2018-01-26,0.94,29.95,1.32,5.84,22712.5,21923.01
2018-01-27,0.61,33.09,0.81,6.57,19879.17,19731.15
2018-01-28,2.93,31.32,2.74,7.34,18070.83,17592.17
2018-01-29,6.05,31.83,3.25,6.88,21760.42,20918.69
2018-01-30,3.65,28.98,3.89,6.72,22177.08,21590.0
2018-01-31,1.5,29.08,2.09,5.63,22216.67,21628.81
2018-02-01,3.39,30.77,2.03,7.13,22283.33,21690.93
2018-02-02,1.31,33.82,0.87,7.22,22204.17,21610.21
2018-02-03,-0.62,33.87,0.91,7.44,19875.0,19534.37
2018-02-04,-1.31,32.66,1.3,7.62,18104.17,17815.68
2018-02-05,-4.25,30.38,1.31,6.27,21883.33,21729.99
2018-02-06,-7.78,28.91,1.25,3.29,22845.83,22486.21
2018-02-07,-5.22,30.65,1.1,5.72,22900.0,22534.2
2018-02-08,-2.5,33.27,1.41,7.2,22791.67,22553.4
2018-02-09,-3.28,32.77,1.12,7.16,22800.0,22488.04
2018-02-10,-3.25,32.79,0.76,7.7,20141.67,20299.05
2018-02-11,-2.47,31.19,1.13,7.04,18237.5,17996.0
2018-02-12,-1.18,32.52,0.92,7.19,22108.33,21503.99
2018-02-13,-1.31,33.11,0.84,6.97,22658.33,21972.41
2018-02-14,-2.13,33.17,1.52,7.81,22402.08,22166.8
2018-02-15,-3.12,32.05,1.07,7.16,22193.75,22258.39
2018-02-16,-1.61,31.43,1.59,6.78,22418.75,22011.27
2018-02-17,-1.84,31.5,1.25,6.05,20087.5,19855.58
2018-02-18,-1.63,31.52,1.29,6.93,18041.67,17989.28
2018-02-19,-2.94,28.72,0.96,4.54,21725.0,21573.03
2018-02-20,-3.74,28.7,1.51,5.38,22291.67,22071.93
2018-02-21,-4.12,31.04,1.23,6.48,22608.33,22222.68
2018-02-22,-5.0,29.71,1.82,6.61,22631.25,22386.27
2018-02-23,-6.16,30.05,1.47,6.21,22854.17,22501.15
2018-02-24,-8.46,28.33,2.25,6.0,20727.08,20467.99
2018-02-25,-12.64,27.38,1.34,5.2,18785.42,18926.21
2018-02-26,-13.2,27.39,1.45,4.98,22716.67,22699.99
2018-02-27,-13.52,26.5,2.3,6.09,23552.08,23446.56
2018-02-28,-12.6,27.18,1.99,5.9,23614.58,23494.2
2018-03-01,-13.78,27.26,1.04,2.89,23725.0,23502.73
2018-03-02,-12.24,27.48,1.42,4.82,23662.5,23322.73
2018-03-03,-11.55,28.53,1.06,3.84,21433.33,21002.6
2018-03-04,-9.28,26.85,1.04,2.26,18597.92,18790.73
2018-03-05,-4.31,25.88,1.77,4.65,22239.58,21859.35
2018-03-06,0.48,30.47,1.59,6.62,22637.5,22097.79
2018-03-07,1.79,34.1,1.48,7.4,22400.0,22012.85
2018-03-08,2.67,32.01,1.4,5.88,22191.67,21582.76
2018-03-09,2.38,30.66,2.15,5.0,22133.33,21482.79
2018-03-10,3.09,31.35,1.11,6.11,19608.33,19350.9
2018-03-11,6.28,30.88,1.78,5.02,17350.0,16729.24
2018-03-12,8.44,30.54,2.7,6.12,20945.83,20171.21
2018-03-13,7.47,30.87,2.01,6.67,21554.17,20641.99
2018-03-14,4.42,33.5,1.59,7.63,21108.33,21134.6
2018-03-15,1.8,32.62,1.45,7.19,21525.0,21395.58
2018-03-16,0.22,32.28,2.74,7.52,22012.5,21682.61
2018-03-17,-4.56,28.88,3.04,6.43,20433.33,19895.59
2018-03-18,-7.14,26.86,3.02,5.67,17960.42,17867.76
2018-03-19,-6.19,28.42,1.52,5.92,21741.67,21662.67
2018-03-20,-4.53,29.23,1.42,6.91,22020.83,22101.3
2018-03-21,-3.46,27.78,1.8,5.08,22097.92,21922.11
2018-03-22,-2.63,27.39,1.5,4.11,22145.83,21741.25
2018-03-23,-1.24,30.01,0.98,5.41,22210.42,21897.55
2018-03-24,0.25,28.68,1.04,4.37,19606.25,19486.94
2018-03-25,1.64,27.35,1.38,2.19,17584.78,17228.93
2018-03-26,1.62,28.82,1.06,5.97,21000.0,20932.3
2018-03-27,1.2,32.13,1.33,7.02,21675.0,21662.5
2018-03-28,0.96,29.01,1.65,6.57,21722.92,21517.31
2018-03-29,3.64,32.97,2.28,7.6,21839.58,21666.42
2018-03-30,5.04,29.85,1.56,5.62,20795.83,20123.04
2018-03-31,6.58,32.55,2.24,7.34,16970.83,17047.0
2018-04-01,4.54,35.14,2.92,7.92,14256.25,14363.61
2018-04-02,3.04,29.23,3.05,4.94,14666.67,14465.47
2018-04-03,7.02,25.24,2.11,4.55,19466.67,19189.22
2018-04-04,11.21,24.04,2.33,4.73,20568.75,20052.25
2018-04-05,11.23,25.57,1.77,4.86,20481.25,19987.52
2018-04-06,6.93,27.51,2.24,4.56,20493.75,20097.92
2018-04-07,6.96,23.9,1.81,2.55,18470.83,17997.78
2018-04-08,12.85,23.71,2.76,2.5,16235.42,15573.35
2018-04-09,15.18,21.99,2.46,1.76,19029.04,19125.4
2018-04-10,13.01,25.5,1.76,3.58,20091.67,19566.41
2018-04-11,11.54,28.3,1.89,4.53,20166.67,19563.7
2018-04-12,13.07,26.83,2.28,2.6,20033.33,19574.36
2018-04-13,14.46,26.5,2.57,4.4,20018.75,19578.73
2018-04-14,13.06,25.74,1.37,2.81,17991.67,17518.93
2018-04-15,13.58,24.57,1.62,4.85,15758.33,15271.18
2018-04-16,15.19,28.19,1.38,7.42,19389.58,19268.11
2018-04-17,12.68,32.36,1.81,6.7,20029.17,19723.93
2018-04-18,11.56,27.49,1.7,2.87,20008.33,19557.39
2018-04-19,13.15,25.82,2.41,2.1,19945.83,19643.35
2018-04-20,12.36,23.51,1.21,1.22,19952.08,19559.64
2018-04-21,14.92,20.26,2.34,1.53,17562.5,17530.38
2018-04-22,12.33,23.1,1.44,2.07,15412.5,15151.36
2018-04-23,12.71,24.47,1.34,5.12,19479.17,18913.13
2018-04-24,13.46,28.67,1.82,5.92,20150.0,19444.43
2018-04-25,14.27,26.56,2.68,5.28,19858.33,19540.32
2018-04-26,10.91,30.28,1.67,6.03,19920.83,19641.38
2018-04-27,8.75,28.0,1.14,3.13,19883.33,19447.93
2018-04-28,13.59,23.62,1.54,3.04,17481.25,17614.88
2018-04-29,17.02,25.86,1.79,3.78,15583.33,15547.96
2018-04-30,18.85,23.67,2.4,3.45,16937.5,17645.58
2018-05-01,16.8,23.92,1.88,3.71,15452.08,15245.05
2018-05-02,14.9,26.36,1.25,4.82,17095.83,16539.29
2018-05-03,17.81,23.78,1.35,3.18,15183.33,14901.88
2018-05-04,14.63,27.36,1.73,3.53,16991.67,16932.53
2018-05-05,12.86,24.89,1.78,2.8,16762.5,16347.69
2018-05-06,12.29,23.55,1.68,1.32,15508.33,14977.06
2018-05-07,13.2,23.23,1.59,1.65,18850.0,18452.25
2018-05-08,14.79,26.22,1.57,4.98,19295.83,19302.21
2018-05-09,16.75,26.25,1.46,4.5,19375.0,19447.13
2018-05-10,17.58,25.02,1.86,3.43,19691.67,19608.0
2018-05-11,16.77,26.38,1.3,4.4,19662.5,19720.19
2018-05-12,15.92,24.33,1.37,3.18,17691.67,17607.06
2018-05-13,15.52,21.23,1.94,2.3,15345.83,14986.04
2018-05-14,12.81,24.89,1.77,3.64,19012.5,18466.66
2018-05-15,12.06,29.98,1.4,5.58,19770.83,19042.97
2018-05-16,12.51,33.1,1.38,7.28,19470.83,19394.32
2018-05-17,13.0,33.27,2.25,7.47,19412.5,19675.26
2018-05-18,12.92,33.31,2.25,6.85,19470.83,19486.21
2018-05-19,13.16,28.62,1.75,4.94,17547.92,17250.47
2018-05-20,13.01,25.1,1.47,2.9,15150.0,14638.29
2018-05-21,13.21,23.21,1.74,2.72,18866.67,18429.82
2018-05-22,15.05,26.33,1.48,3.48,19481.25,19275.55
2018-05-23,16.11,28.41,1.17,4.28,19691.67,19443.56
2018-05-24,16.62,25.98,1.91,3.47,19708.33,19492.23
2018-05-25,16.24,26.84,1.34,4.47,19737.5,19505.06
2018-05-26,17.32,29.96,1.12,5.1,17854.17,17651.73
2018-05-27,18.6,27.67,1.27,3.32,15595.83,15772.54
2018-05-28,19.36,23.61,1.54,1.89,19475.0,19448.98
2018-05-29,19.05,21.99,1.67,2.31,20204.17,19946.79
2018-05-30,19.98,22.65,1.16,2.61,20308.33,19958.84
2018-05-31,20.64,22.57,1.01,3.02,15483.33,15997.55
2018-06-01,20.24,23.41,1.26,3.41,17579.17,18186.13
2018-06-02,19.03,30.02,1.21,5.65,17137.5,17420.77
2018-06-03,19.05,29.29,1.27,4.85,15564.58,15861.01
2018-06-04,19.21,27.37,1.32,3.6,19679.17,19565.07
2018-06-05,18.26,27.14,1.62,4.1,20093.67,19902.85
2018-06-06,14.11,21.21,1.89,2.62,19891.67,19500.39
2018-06-07,15.79,20.33,1.36,2.62,20041.67,19597.19
2018-06-08,18.95,22.38,1.04,2.98,20125.0,20059.33
2018-06-09,20.41,23.11,1.24,3.97,18077.08,18091.71
2018-06-10,20.52,24.39,1.18,5.26,15872.92,15791.2
2018-06-11,20.07,29.3,1.61,4.61,20006.25,19513.71
2018-06-12,17.56,30.19,1.72,6.1,20300.0,19756.08
2018-06-13,15.57,30.1,1.23,7.0,19941.67,19641.71
2018-06-14,15.78,30.35,1.39,6.68,20179.17,19675.14
2018-06-15,17.08,27.28,1.23,5.41,20016.67,19754.02
2018-06-16,18.44,25.84,1.14,4.32,18050.0,17858.95
2018-06-17,19.4,24.15,1.14,4.5,15975.0,15593.59
2018-06-18,18.44,29.21,1.08,6.7,19920.83,19371.91
2018-06-19,19.78,25.48,1.47,5.06,20095.83,19793.22
2018-06-20,20.06,24.12,1.04,3.2,20143.75,19970.6
2018-06-21,21.29,23.83,2.26,3.96,20387.5,20069.78
2018-06-22,13.87,26.66,2.12,6.53,19939.58,19002.57
2018-06-23,11.21,29.86,1.67,7.17,17483.33,17046.71
2018-06-24,12.29,31.39,1.79,7.12,15785.42,15207.74
2018-06-25,13.07,32.23,1.23,6.96,19250.0,18615.17
2018-06-26,13.66,32.0,1.03,6.25,19754.17,19322.26
2018-06-27,15.4,30.03,1.77,6.5,19779.17,19600.83
2018-06-28,18.11,30.12,1.92,6.72,20000.0,19868.61
2018-06-29,19.45,27.73,1.85,5.56,20237.5,19698.54
2018-06-30,13.99,27.18,2.74,6.48,17383.33,17216.66
2018-07-01,11.85,28.63,2.01,6.53,15708.33,15252.27
2018-07-02,12.66,28.55,2.03,5.74,18937.5,18428.08
2018-07-03,15.65,24.72,1.65,4.2,19866.67,19238.33
2018-07-04,18.64,21.2,1.46,2.41,20325.0,19621.32
2018-07-05,20.45,20.25,1.52,2.24,20291.67,19920.65
2018-07-06,19.16,26.85,1.49,5.09,19920.83,19786.89
2018-07-07,18.48,25.2,1.69,4.18,17929.17,17581.99
2018-07-08,18.19,25.61,1.5,4.26,15729.17,15438.26
2018-07-09,18.43,25.42,1.16,4.04,19516.67,19200.55
2018-07-10,18.6,25.88,1.21,5.03,19862.5,19843.72
2018-07-11,18.16,30.04,0.96,6.66,20016.67,19899.95
2018-07-12,17.51,30.19,1.58,5.36,20058.33,19670.09
2018-07-13,17.13,31.02,1.82,6.37,20054.17,19537.96
2018-07-14,17.48,32.51,2.18,6.56,17562.5,17534.4
2018-07-15,17.74,30.81,1.83,5.78,15568.75,15314.74
2018-07-16,18.1,31.79,1.59,5.98,19291.67,18781.55
2018-07-17,17.91,34.83,1.65,7.71,20079.17,19603.98
2018-07-18,18.92,34.85,1.73,7.47,19820.83,19716.94
2018-07-19,18.87,33.82,1.79,7.16,20000.0,19601.04
2018-07-20,19.69,30.28,1.42,5.12,20008.33,19604.31
2018-07-21,19.52,26.21,1.06,2.43,17866.67,17549.02
2018-07-22,19.74,27.21,0.88,4.16,15695.83,15470.78
2018-07-23,20.26,26.87,1.76,3.66,19500.0,19047.92
2018-07-24,20.54,26.69,1.72,3.7,20091.67,19626.26
