Data,Godz.,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-07,22,21300.0,21839.28
2015-01-07,23,19800.0,20220.58
2015-01-07,15,22200.0,23499.68
2015-01-07,19,23400.0,24396.32
2015-01-07,14,22500.0,23708.42
2015-01-07,20,23300.0,24237.52
2015-01-07,12,22100.0,23492.4
2015-01-07,13,22300.0,23582.85
2015-01-07,1,15000.0,15520.7
2015-01-07,2,14500.0,15134.42
2015-01-07,3,14200.0,14919.15
2015-01-07,4,14200.0,15074.68
2015-01-07,8,20700.0,21757.35
2015-01-07,6,16300.0,16505.62
2015-01-07,7,19700.0,19846.4
2015-01-07,9,21500.0,22658.3
2015-01-07,10,21800.0,23187.25
2015-01-07,5,14800.0,15366.05
2015-01-07,11,22000.0,23307.68
2015-01-08,16,22800.0,23200.2
2015-01-08,17,24000.0,24445.3
2015-01-08,18,23900.0,24559.15
2015-01-08,20,23400.0,24048.15
2015-01-08,15,22700.0,23072.32
2015-01-08,21,22700.0,23141.2
2015-01-08,22,21300.0,21517.9
2015-01-08,23,19700.0,19791.18
2015-01-08,24,18200.0,18446.5
2015-01-08,19,23600.0,24210.25
2015-01-08,14,23000.0,23276.65
2015-01-08,11,22700.0,23138.55
2015-01-08,12,22700.0,23368.62
2015-01-08,10,22600.0,23163.38
2015-01-08,9,22400.0,22826.1
2015-01-08,7,20700.0,20514.0
2015-01-08,6,17700.0,17819.55
2015-01-08,5,16500.0,17045.03
2015-01-08,4,16100.0,16763.92
2015-01-08,3,16100.0,16691.88
2015-01-08,2,16300.0,17096.82
2015-01-08,1,17000.0,17725.3
2015-01-08,13,22700.0,23303.9
2015-01-08,8,21700.0,22147.58
2015-01-09,24,18520.0,18307.82
2015-01-09,1,17550.0,17618.05
2015-01-09,23,19935.0,19461.22
2015-01-09,22,21650.0,20795.97
2015-01-09,21,23108.0,22494.45
2015-01-09,20,23818.0,23351.72
2015-01-09,19,24108.0,23611.1
2015-01-09,18,24432.0,23959.88
2015-01-09,17,24268.0,24106.02
2015-01-09,16,23085.0,23280.72
2015-01-09,15,23018.0,23304.82
2015-01-09,14,23262.0,23453.62
2015-01-09,13,23228.0,23248.9
2015-01-09,11,22875.0,22955.68
2015-01-09,10,23095.0,22907.22
2015-01-09,9,22500.0,22651.6
2015-01-09,8,21962.0,21996.35
2015-01-09,7,20375.0,20394.18
2015-01-09,6,17741.0,17623.82
2015-01-09,5,16845.0,16875.8
2015-01-09,4,16552.0,16678.38
2015-01-09,3,16572.0,16721.7
2015-01-09,2,16875.0,17064.65
2015-01-09,12,23152.0,23136.82
2015-01-10,3,15800.0,16122.3
2015-01-10,2,16200.0,16438.15
2015-01-10,1,17000.0,17109.38
2015-01-10,8,17800.0,18177.35
2015-01-10,6,16000.0,16166.18
2015-01-10,4,15700.0,15987.9
2015-01-10,24,16700.0,16345.75
2015-01-10,23,18000.0,17453.47
2015-01-10,22,19000.0,18466.08
2015-01-10,21,20300.0,19796.88
2015-01-10,20,21000.0,20433.53
2015-01-10,19,21100.0,20709.1
2015-01-10,18,21450.0,21300.08
2015-01-10,9,19050.0,19154.3
2015-01-10,7,17200.0,17264.88
2015-01-10,16,20250.0,20447.18
2015-01-10,15,19900.0,20566.15
2015-01-10,14,20500.0,20944.82
2015-01-10,13,20350.0,20970.58
2015-01-10,12,20350.0,21042.1
2015-01-10,11,20250.0,20802.38
2015-01-10,17,21550.0,21424.55
2015-01-10,5,15700.0,15951.9
2015-01-10,10,19850.0,20254.68
2015-01-11,16,18250.0,18034.2
2015-01-11,17,19850.0,19390.22
2015-01-11,18,20050.0,19787.5
2015-01-11,19,20250.0,19818.12
2015-01-11,24,16600.0,16155.18
2015-01-11,21,19700.0,19064.28
2015-01-11,22,18800.0,18117.47
2015-01-11,23,17900.0,17297.2
2015-01-11,20,20250.0,19846.78
2015-01-11,14,18450.0,18296.55
2015-01-11,15,18050.0,18138.42
2015-01-11,12,18150.0,17880.6
2015-01-11,11,17850.0,17396.2
2015-01-11,10,17450.0,16765.9
2015-01-11,9,16450.0,15693.92
2015-01-11,8,15350.0,15034.2
2015-01-11,7,15150.0,14840.6
2015-01-11,6,14500.0,14324.28
2015-01-11,5,14350.0,14214.15
2015-01-11,4,14350.0,14179.85
2015-01-11,3,14550.0,14299.22
2015-01-11,2,15050.0,14609.4
2015-01-11,13,18250.0,18036.72
2015-01-11,1,15750.0,15314.52
2015-01-12,15,23050.0,23052.22
2015-01-12,16,23050.0,23136.6
2015-01-12,18,24300.0,24189.7
2015-01-12,24,18500.0,18269.47
2015-01-12,20,23800.0,23689.1
2015-01-12,21,23100.0,22875.18
2015-01-12,22,21700.0,21300.68
2015-01-12,23,20000.0,19659.28
2015-01-12,19,23900.0,23864.08
2015-01-12,14,23550.0,23273.78
2015-01-12,17,24450.0,24102.85
2015-01-12,11,23100.0,22930.88
2015-01-12,1,15400.0,15221.08
2015-01-12,13,23300.0,23225.92
2015-01-12,2,14950.0,14720.18
2015-01-12,3,14750.0,14576.7
2015-01-12,4,14900.0,14681.62
2015-01-12,12,23250.0,23036.5
2015-01-12,6,17300.0,16274.08
2015-01-12,7,20700.0,19562.55
2015-01-12,8,21750.0,21536.25
2015-01-12,10,22950.0,22785.85
2015-01-12,5,15500.0,15076.78
2015-01-12,9,22750.0,22428.9
2015-01-13,24,18500.0,18166.82
2015-01-13,23,20000.0,19570.03
2015-01-13,22,21700.0,21092.48
2015-01-13,21,23000.0,22798.05
2015-01-13,20,23800.0,23596.62
2015-01-13,18,24300.0,23899.3
2015-01-13,17,24400.0,23491.78
2015-01-13,15,23100.0,22183.85
2015-01-13,14,23450.0,22491.75
2015-01-13,19,23900.0,23709.98
2015-01-13,12,23150.0,22613.2
2015-01-13,1,17400.0,17135.15
2015-01-13,13,23250.0,22524.42
2015-01-13,2,16800.0,16607.42
2015-01-13,3,16400.0,16256.4
2015-01-13,4,16400.0,16202.55
2015-01-13,5,16900.0,16499.92
2015-01-13,16,23300.0,22072.08
2015-01-13,7,21200.0,20165.58
2015-01-13,8,22100.0,21816.15
2015-01-13,9,22800.0,22308.92
2015-01-13,10,23000.0,22451.25
2015-01-13,11,23100.0,22427.92
2015-01-13,6,18100.0,17465.38
2015-01-14,14,23600.0,22650.1
2015-01-14,13,23400.0,22791.68
2015-01-14,12,23400.0,22627.52
2015-01-14,11,23300.0,22401.25
2015-01-14,10,23200.0,22589.4
2015-01-14,9,23000.0,22303.0
2015-01-14,6,18100.0,17284.88
2015-01-14,7,21400.0,20183.65
2015-01-14,5,16800.0,16461.7
2015-01-14,4,16300.0,16205.08
2015-01-14,2,16700.0,16424.68
2015-01-14,1,17300.0,17018.35
2015-01-14,8,22300.0,21698.95
2015-01-14,3,16400.0,16109.55
2015-01-14,15,23200.0,22348.3
2015-01-14,18,24500.0,23904.32
2015-01-14,16,23500.0,22341.52
2015-01-14,24,18400.0,18146.1
2015-01-14,23,19900.0,19414.8
2015-01-14,17,24400.0,23645.98
2015-01-14,21,22900.0,22852.2
2015-01-14,20,23900.0,23654.3
2015-01-14,19,24000.0,23773.88
