Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20150101;1;-;15557,138
20150101;2;-;14727,413
20150101;3;-;13979,463
20150101;4;-;13453,775
20150101;5;-;13306,000
20150101;6;-;13175,575
20150101;7;-;13165,113
20150101;8;-;13029,750
20150101;9;-;12945,350
20150101;10;-;13454,675
20150101;11;-;14094,525
20150101;12;-;14717,888
20150101;13;-;15188,363
20150101;14;-;15637,263
20150101;15;-;15698,788
20150101;16;-;15882,163
20150101;17;-;17216,188
20150101;18;-;17645,913
20150101;19;-;17543,600
20150101;20;-;17552,650
20150101;21;-;17264,150
20150101;22;-;16559,750
20150101;23;-;15860,238
20150101;24;-;14705,775
20150102;1;13828;13720,800
20150102;2;13212;13258,475
20150102;3;13028;13010,575
20150102;4;13056;13006,900
20150102;5;13426;13241,450
20150102;6;14309;13985,825
20150102;7;15800;15719,825
20150102;8;17283;16899,625
20150102;9;17764;17782,800
20150102;10;18537;18763,350
20150102;11;19148;19358,025
20150102;12;19441;19743,775
20150102;13;19702;20030,825
20150102;14;19830;20491,950
20150102;15;20050;20393,950
20150102;16;20328;20516,400
20150102;17;21690;21503,975
20150102;18;21629;21448,800
20150102;19;21356;21109,575
20150102;20;21079;20924,300
20150102;21;20360;20286,175
20150102;22;19090;19113,525
20150102;23;17590;17908,100
20150102;24;16215;16641,700
20150103;1;15168;15491,375
20150103;2;14349;14866,750
20150103;3;13955;14559,700
20150103;4;13834;14399,300
20150103;5;13946;14584,075
20150103;6;14373;14754,500
20150103;7;15354;15689,425
20150103;8;16219;16285,250
20150103;9;17170;17005,975
20150103;10;18296;18138,150
20150103;11;18982;18846,650
20150103;12;19308;19193,750
20150103;13;19371;19228,250
20150103;14;19484;19455,450
20150103;15;19230;19216,575
20150103;16;19599;19568,150
20150103;17;20782;20674,050
20150103;18;20909;20548,275
20150103;19;20614;20469,950
20150103;20;20460;20157,950
20150103;21;19780;19535,675
20150103;22;18609;18337,525
20150103;23;17347;17324,400
20150103;24;16205;16106,925
20150104;1;14800;15072,200
20150104;2;14000;14350,250
20150104;3;13500;13946,200
20150104;4;13250;13792,850
20150104;5;13300;13817,225
20150104;6;13400;13964,800
20150104;7;13900;14381,150
20150104;8;14100;14469,725
20150104;9;15000;15067,300
20150104;10;15900;16019,325
20150104;11;16600;16764,950
20150104;12;16850;17174,650
20150104;13;17150;17300,200
20150104;14;17300;17593,100
20150104;15;17050;17347,425
20150104;16;17800;17553,350
20150104;17;19000;19026,250
20150104;18;19150;19287,325
20150104;19;19200;19294,875
20150104;20;19300;19320,150
20150104;21;18700;18646,800
20150104;22;17900;17920,375
20150104;23;16900;16953,075
20150104;24;15600;15826,700
20150105;1;14800;14796,225
20150105;2;14300;14212,150
20150105;3;14100;14036,875
20150105;4;14050;13981,175
20150105;5;14325;14320,725
20150105;6;15100;15035,900
20150105;7;16875;17081,275
20150105;8;18475;18428,800
20150105;9;19375;19411,800
20150105;10;20150;20241,275
20150105;11;20500;20542,625
20150105;12;20775;20803,025
20150105;13;20825;20876,925
20150105;14;21000;21171,425
20150105;15;20825;20995,200
20150105;16;21025;20977,075
20150105;17;22375;22323,000
20150105;18;22550;22399,275
20150105;19;22300;22214,550
20150105;20;22075;21919,600
20150105;21;21475;21086,425
20150105;22;20150;19861,450
20150105;23;18700;18574,750
20150105;24;17300;17262,925
20150106;1;15900;16169,950
20150106;2;15000;15395,750
20150106;3;14400;15059,275
20150106;4;14200;14924,775
20150106;5;14200;14872,975
20150106;6;14100;14824,925
20150106;7;14400;15005,050
20150106;8;14400;15064,275
20150106;9;15300;15570,900
20150106;10;16100;16433,725
20150106;11;16700;17014,850
20150106;12;17100;17398,950
20150106;13;17400;17560,925
20150106;14;17600;17905,550
20150106;15;17400;17608,800
20150106;16;17900;17647,950
20150106;17;19100;19321,025
20150106;18;19200;19796,925
20150106;19;19300;19897,250
20150106;20;19300;19907,700
20150106;21;18800;19579,050
20150106;22;18000;18636,025
20150106;23;17100;17812,300
20150106;24;15900;16429,100
20150107;1;15000;15520,700
20150107;2;14500;15134,425
20150107;3;14200;14919,150
20150107;4;14200;15074,675
20150107;5;14800;15366,050
20150107;6;16300;16505,625
20150107;7;19700;19846,400
20150107;8;20700;21757,350
20150107;9;21500;22658,300
20150107;10;21800;23187,250
20150107;11;22000;23307,675
20150107;12;22100;23492,400
20150107;13;22300;23582,850
20150107;14;22500;23708,425
20150107;15;22200;23499,675
20150107;16;22600;23527,850
20150107;17;23800;24799,900
20150107;18;23700;24771,875
20150107;19;23400;24396,325
20150107;20;23300;24237,525
20150107;21;22600;23519,400
20150107;22;21300;21839,275
20150107;23;19800;20220,575
20150107;24;18200;18784,825
20150108;1;17000;17725,300
20150108;2;16300;17096,825
20150108;3;16100;16691,875
20150108;4;16100;16763,925
20150108;5;16500;17045,025
20150108;6;17700;17819,550
20150108;7;20700;20514,000
20150108;8;21700;22147,575
20150108;9;22400;22826,100
20150108;10;22600;23163,375
20150108;11;22700;23138,550
20150108;12;22700;23368,625
20150108;13;22700;23303,900
20150108;14;23000;23276,650
20150108;15;22700;23072,325
20150108;16;22800;23200,200
20150108;17;24000;24445,300
20150108;18;23900;24559,150
20150108;19;23600;24210,250
20150108;20;23400;24048,150
20150108;21;22700;23141,200
20150108;22;21300;21517,900
20150108;23;19700;19791,175
20150108;24;18200;18446,500
20150109;1;17550;17618,050
20150109;2;16875;17064,650
20150109;3;16572;16721,700
20150109;4;16552;16678,375
20150109;5;16845;16875,800
20150109;6;17741;17623,825
20150109;7;20375;20394,175
20150109;8;21962;21996,350
20150109;9;22500;22651,600
20150109;10;23095;22907,225
20150109;11;22875;22955,675
20150109;12;23152;23136,825
20150109;13;23228;23248,900
20150109;14;23262;23453,625
20150109;15;23018;23304,825
20150109;16;23085;23280,725
20150109;17;24268;24106,025
20150109;18;24432;23959,875
20150109;19;24108;23611,100
20150109;20;23818;23351,725
20150109;21;23108;22494,450
20150109;22;21650;20795,975
20150109;23;19935;19461,225
20150109;24;18520;18307,825
20150110;1;17000;17109,375
20150110;2;16200;16438,150
20150110;3;15800;16122,300
20150110;4;15700;15987,900
20150110;5;15700;15951,900
20150110;6;16000;16166,175
20150110;7;17200;17264,875
20150110;8;17800;18177,350
20150110;9;19050;19154,300
20150110;10;19850;20254,675
20150110;11;20250;20802,375
20150110;12;20350;21042,100
20150110;13;20350;20970,575
20150110;14;20500;20944,825
20150110;15;19900;20566,150
20150110;16;20250;20447,175
20150110;17;21550;21424,550
20150110;18;21450;21300,075
20150110;19;21100;20709,100
20150110;20;21000;20433,525
20150110;21;20300;19796,875
20150110;22;19000;18466,075
20150110;23;18000;17453,475
20150110;24;16700;16345,750
20150111;1;15750;15314,525
20150111;2;15050;14609,400
20150111;3;14550;14299,225
20150111;4;14350;14179,850
20150111;5;14350;14214,150
20150111;6;14500;14324,275
20150111;7;15150;14840,600
20150111;8;15350;15034,200
20150111;9;16450;15693,925
20150111;10;17450;16765,900
20150111;11;17850;17396,200
20150111;12;18150;17880,600
20150111;13;18250;18036,725
20150111;14;18450;18296,550
20150111;15;18050;18138,425
20150111;16;18250;18034,200
20150111;17;19850;19390,225
20150111;18;20050;19787,500
20150111;19;20250;19818,125
20150111;20;20250;19846,775
20150111;21;19700;19064,275
20150111;22;18800;18117,475
20150111;23;17900;17297,200
20150111;24;16600;16155,175
20150112;1;15400;15221,075
20150112;2;14950;14720,175
20150112;3;14750;14576,700
20150112;4;14900;14681,625
20150112;5;15500;15076,775
20150112;6;17300;16274,075
20150112;7;20700;19562,550
20150112;8;21750;21536,250
20150112;9;22750;22428,900
20150112;10;22950;22785,850
20150112;11;23100;22930,875
20150112;12;23250;23036,500
20150112;13;23300;23225,925
20150112;14;23550;23273,775
20150112;15;23050;23052,225
20150112;16;23050;23136,600
20150112;17;24450;24102,850
20150112;18;24300;24189,700
