Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200801;1;15200;15720,613
20200801;2;14500;15023,150
20200801;3;14100;14588,900
20200801;4;14000;14394,000
20200801;5;13700;14237,838
20200801;6;13500;13839,150
20200801;7;15000;14608,925
20200801;8;16900;15902,013
20200801;9;18000;17117,775
20200801;10;18600;18022,825
20200801;11;19100;18269,750
20200801;12;19000;18378,463
20200801;13;18900;18266,538
20200801;14;18600;18035,900
20200801;15;18200;17499,563
20200801;16;18000;17261,325
20200801;17;17600;17000,938
20200801;18;17400;16814,988
20200801;19;17400;16946,688
20200801;20;17400;17000,988
20200801;21;17700;17263,650
20200801;22;17700;17329,463
20200801;23;16800;16277,963
20200801;24;15600;15010,138
20200802;1;13800;13882,000
20200802;2;13000;13243,613
20200802;3;12700;12829,275
20200802;4;12500;12677,125
20200802;5;12300;12442,538
20200802;6;12200;11949,625
20200802;7;13300;12333,350
20200802;8;14200;13289,375
20200802;9;15100;14160,250
20200802;10;15700;14932,475
20200802;11;16000;15344,600
20200802;12;16100;15569,600
20200802;13;16100;15542,375
20200802;14;16100;15516,400
20200802;15;15700;15194,925
20200802;16;15400;14976,213
20200802;17;15200;14946,413
20200802;18;15200;15166,263
20200802;19;15500;15510,813
20200802;20;16000;15945,650
20200802;21;16800;16472,888
20200802;22;16900;16802,675
20200802;23;15900;15980,138
20200802;24;14850;14861,975
20200803;1;13500;13937,775
20200803;2;13050;13571,063
20200803;3;12950;13383,900
20200803;4;12850;13406,388
20200803;5;12700;13443,688
20200803;6;14400;13718,375
20200803;7;17500;16169,388
20200803;8;19400;18445,475
20200803;9;20600;19790,013
20200803;10;20800;20651,175
20200803;11;21100;20951,888
20200803;12;21400;21358,000
20200803;13;21500;21644,700
20200803;14;21400;21550,963
20200803;15;21000;21167,488
20200803;16;20700;20924,900
20200803;17;20300;20488,600
20200803;18;20100;20116,150
20200803;19;20100;19828,800
20200803;20;20200;19938,550
20200803;21;20550;20128,200
20200803;22;20350;19566,375
20200803;23;18600;18101,388
20200803;24;17000;16618,088
20200804;1;15900;15471,938
20200804;2;15350;14986,013
20200804;3;14950;14659,775
20200804;4;14900;14609,838
20200804;5;14800;14648,400
