Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20200109;5;17700;17411,513
20200109;6;19100;18075,750
20200109;7;22600;21030,188
20200109;8;23800;23245,525
20200109;9;24600;23979,888
20200109;10;24700;24351,788
20200109;11;24700;24188,675
20200109;12;24800;24399,400
20200109;13;25000;24389,138
20200109;14;25300;24439,450
20200109;15;24700;24066,900
20200109;16;24700;23928,700
20200109;17;25400;24620,313
20200109;18;25150;24552,488
20200109;19;24850;24282,175
20200109;20;24750;24200,763
20200109;21;24000;23597,475
20200109;22;22500;22009,963
20200109;23;21000;20444,150
20200109;24;19500;19028,963
20200110;1;17900;17964,825
20200110;2;17250;17350,375
20200110;3;16900;17144,425
20200110;4;17000;17094,538
20200110;5;17300;17360,350
20200110;6;19100;18154,863
20200110;7;22900;20983,150
20200110;8;23700;22944,988
20200110;9;24500;23680,488
20200110;10;24550;23974,188
20200110;11;24550;23785,200
20200110;12;24650;24026,250
20200110;13;24800;24044,813
20200110;14;25000;23939,188
20200110;15;24500;23540,438
20200110;16;24800;23434,025
20200110;17;25450;24196,538
20200110;18;25250;24368,988
20200110;19;24850;23951,388
20200110;20;24750;23767,750
20200110;21;24000;23164,763
20200110;22;22500;21732,613
20200110;23;20900;20138,625
20200110;24;19300;19002,350
20200111;1;17850;17888,463
20200111;2;17200;17295,675
20200111;3;16800;16820,313
20200111;4;16800;16756,550
20200111;5;16900;16742,750
20200111;6;17200;16901,563
20200111;7;19100;17834,750
20200111;8;20000;18719,813
20200111;9;21200;19787,275
20200111;10;21900;20827,038
20200111;11;22200;21288,975
20200111;12;22200;21590,075
20200111;13;22200;21542,813
20200111;14;21900;21510,663
20200111;15;21300;20893,225
20200111;16;21500;20850,050
20200111;17;22400;21603,875
20200111;18;22300;21569,213
20200111;19;22000;21343,763
20200111;20;21800;20998,000
20200111;21;21200;20427,325
20200111;22;20000;19351,800
20200111;23;18900;18340,188
20200111;24;17900;17272,438
20200112;1;16500;16165,775
20200112;2;15850;15528,288
20200112;3;15350;15031,200
20200112;4;15250;14990,200
20200112;5;15400;15005,763
20200112;6;15550;15151,138
20200112;7;16100;15654,013
20200112;8;16400;15901,025
20200112;9;17450;16406,438
20200112;10;18450;17179,500
20200112;11;18750;17567,275
20200112;12;18850;17597,663
20200112;13;19050;17731,138
20200112;14;19150;17956,250
20200112;15;18850;17765,875
20200112;16;18950;17845,625
20200112;17;20200;19040,300
20200112;18;20250;19460,425
20200112;19;20300;19572,550
20200112;20;20350;19684,088
20200112;21;19750;19343,900
20200112;22;19050;18497,225
20200112;23;18250;17820,438
20200112;24;17150;16861,750
20200113;1;16200;15926,163
20200113;2;15800;15539,888
20200113;3;15600;15356,000
20200113;4;15800;15448,163
20200113;5;16300;15822,375
20200113;6;18200;16978,475
20200113;7;21800;20307,000
20200113;8;23100;22576,075
20200113;9;24000;23431,463
20200113;10;24200;23854,375
20200113;11;24400;23765,438
20200113;12;24500;24056,313
20200113;13;24500;23975,700
20200113;14;24700;24165,388
20200113;15;24200;23864,475
20200113;16;24200;23641,538
20200113;17;25300;24430,038
20200113;18;25300;24604,625
20200113;19;24800;24275,250
20200113;20;24700;24197,888
20200113;21;24000;23571,588
20200113;22;22400;21992,600
20200113;23;20900;20468,113
20200113;24;19500;18982,438
20200114;1;18100;17854,288
20200114;2;17600;17341,513
20200114;3;17200;17066,750
20200114;4;17300;17116,013
20200114;5;17700;17513,675
20200114;6;19200;18343,638
20200114;7;22900;21181,888
20200114;8;23700;23214,450
20200114;9;24400;23941,125
20200114;10;24400;24024,288
20200114;11;24300;23751,800
20200114;12;24400;23830,463
20200114;13;24400;23841,588
20200114;14;24600;23842,988
20200114;15;24300;23706,900
20200114;16;24500;23583,200
20200114;17;25100;24555,113
20200114;18;25000;24800,125
20200114;19;24700;24527,150
20200114;20;24500;24402,900
20200114;21;23900;23900,800
20200114;22;22200;22313,175
20200114;23;20600;20767,575
20200114;24;19200;19465,963
20200115;1;17700;18468,163
20200115;2;17100;17712,350
20200115;3;16900;17361,650
20200115;4;17000;17374,763
20200115;5;17600;17737,075
20200115;6;19100;18468,250
20200115;7;23000;21291,688
20200115;8;23800;23171,600
20200115;9;24400;23642,200
20200115;10;24400;23826,450
20200115;11;24400;23345,550
20200115;12;24500;23413,550
20200115;13;24500;23468,525
20200115;14;24600;23486,838
20200115;15;24100;23284,338
20200115;16;24100;23359,125
20200115;17;25000;24390,563
20200115;18;24900;24786,350
20200115;19;24600;24392,213
20200115;20;24400;24195,775
20200115;21;23700;23494,475
20200115;22;22200;22056,025
20200115;23;20700;20460,313
20200115;24;19300;19144,700
20200116;1;18400;18116,000
20200116;2;17800;17626,275
20200116;3;17500;17202,025
20200116;4;17500;17232,750
20200116;5;18000;17461,975
20200116;6;19300;18314,900
20200116;7;22700;21103,613
20200116;8;23700;23051,200
20200116;9;24400;23732,813
20200116;10;24400;23793,750
20200116;11;24400;23545,338
20200116;12;24300;23618,825
20200116;13;24400;23503,063
20200116;14;24500;23563,088
20200116;15;24200;23323,350
20200116;16;23900;23304,425
20200116;17;25200;24330,563
20200116;18;25100;24764,463
20200116;19;24800;24406,938
20200116;20;24700;24242,325
20200116;21;24100;23537,588
20200116;22;22600;22084,613
20200116;23;21200;20555,988
20200116;24;19700;19223,000
20200117;1;18300;18139,638
20200117;2;17700;17665,150
20200117;3;17400;17284,275
20200117;4;17400;17307,088
20200117;5;18000;17672,813
20200117;6;19300;18593,238
20200117;7;22700;21345,075
20200117;8;23600;23396,288
20200117;9;24200;24085,463
20200117;10;24300;24242,700
20200117;11;23900;24011,963
20200117;12;24000;24173,700
20200117;13;24000;24021,800
20200117;14;24200;24082,950
20200117;15;23700;23723,700
20200117;16;23900;23671,000
20200117;17;25000;24577,550
20200117;18;24900;24775,950
20200117;19;24800;24299,500
20200117;20;24600;23996,400
20200117;21;23900;23291,863
20200117;22;22400;21823,000
20200117;23;21000;20380,288
20200117;24;19600;19301,888
20200118;1;18000;18258,288
20200118;2;17400;17606,000
20200118;3;16900;17169,525
20200118;4;16900;17116,925
20200118;5;16900;17164,750
20200118;6;17100;17304,325
20200118;7;18400;18197,500
20200118;8;19100;19210,438
20200118;9;20400;20182,025
20200118;10;21100;21051,513
20200118;11;21400;21545,775
20200118;12;21600;21672,238
20200118;13;21600;21570,650
20200118;14;21500;21392,638
20200118;15;20900;20782,850
20200118;16;20800;20663,000
20200118;17;22000;21289,863
20200118;18;21900;21389,175
20200118;19;21700;21204,413
